Query,Response,neg,neu,pos,compound
i enjoy the winter but it gets really cold sometimes,i know what you mean but id rather be cold than hot,0.0,0.792,0.208,0.2732
i know what you mean but id rather be cold than hot,thats exactly how i feel,0.0,1.0,0.0,0.0
i wish it was a nicer day today,that is true i hope it doesnt rain,0.0,0.417,0.583,0.6808
that is true i hope it doesnt rain,it wouldnt rain in the middle of the summer,0.0,0.467,0.533,0.6908
it wouldnt rain in the middle of the summer,it wouldnt seem right if it started raining right now,0.0,1.0,0.0,0.0
it wouldnt seem right if it started raining right now,it would be weird if it started raining in ninety degree weather,0.0,1.0,0.0,0.0
it would be weird if it started raining in ninety degree weather,any rain right now would be pointless,0.134,0.866,0.0,-0.1779
any rain right now would be pointless,thats right it really would be,0.0,1.0,0.0,0.0
thats right it really would be,i want it to cool down some,0.0,1.0,0.0,0.0
i want it to cool down some,i know what you mean i cant wait until its winter,0.0,0.526,0.474,0.3818
i know what you mean i cant wait until its winter,winter is great i wish it didnt get so cold sometimes though,0.0,1.0,0.0,0.0
winter is great i wish it didnt get so cold sometimes though,i would rather deal with the winter than the summer,0.0,0.57,0.43,0.7783
its such a nice day,yes it is,0.0,0.517,0.483,0.4215
yes it is,it looks like it may rain soon,0.0,0.426,0.574,0.4019
it looks like it may rain soon,yes and i hope that it does,0.0,0.706,0.294,0.3612
yes and i hope that it does,why is that,0.0,0.417,0.583,0.6808
why is that,i really love how rain clears the air,0.0,1.0,0.0,0.0
i really love how rain clears the air,me too it always smells so fresh after it rains,0.0,0.463,0.537,0.6997
me too it always smells so fresh after it rains,yes but i love the night air after it rains,0.0,0.751,0.249,0.4572
yes but i love the night air after it rains,really why is it,0.0,0.478,0.522,0.8248
really why is it,because you can see the stars perfectly,0.0,1.0,0.0,0.0
because you can see the stars perfectly,i really hope it rains today,0.0,0.588,0.412,0.6369
i really hope it rains today,yeah me too,0.0,0.556,0.444,0.4927
isnt it a nice day,it really is,0.437,0.563,0.0,-0.3252
it really is,it seems that it may rain today,0.0,1.0,0.0,0.0
it seems that it may rain today,hopefully it will,0.0,1.0,0.0,0.0
hopefully it will,how come,0.0,0.426,0.574,0.4019
how come,i like how clear the sky gets after it rains,0.0,1.0,0.0,0.0
i like how clear the sky gets after it rains,i feel the same way it smells so good after it rains,0.0,0.579,0.421,0.6249
i feel the same way it smells so good after it rains,i especially love the night air when it rains,0.0,0.728,0.272,0.5777
i especially love the night air when it rains,really why,0.0,0.609,0.391,0.6697
really why,the stars look so much closer after it rains,0.0,1.0,0.0,0.0
the stars look so much closer after it rains,i really want it to rain today,0.0,1.0,0.0,0.0
i really want it to rain today,yeah so do i,0.0,0.758,0.242,0.1513
dont you think its nice out,yes i think so too,0.0,0.641,0.359,0.4215
yes i think so too,i think that its going to rain,0.0,0.526,0.474,0.4019
i think that its going to rain,i hope that it does rain,0.0,1.0,0.0,0.0
i hope that it does rain,you like the rain,0.0,0.58,0.42,0.4404
you like the rain,the sky looks so clean after it rains i love it,0.0,0.545,0.455,0.3612
the sky looks so clean after it rains i love it,i understand rain does make it smell cleaner,0.0,0.51,0.49,0.8267
i understand rain does make it smell cleaner,i love most how it is at night after it rains,0.0,0.779,0.221,0.1779
i love most how it is at night after it rains,how come,0.0,0.682,0.318,0.6369
how come,you can see the stars so much more clearly after it rains,0.0,1.0,0.0,0.0
you can see the stars so much more clearly after it rains,i would love for it to rain today,0.0,0.772,0.228,0.5034
i really want to go to the beach this weekend,that sounds like fun whats the weather going to be like,0.0,0.834,0.166,0.1513
that sounds like fun whats the weather going to be like,i heard that its going to be warm this weekend,0.0,0.491,0.509,0.8074
i heard that its going to be warm this weekend,is it going to be perfect beach weather,0.0,0.808,0.192,0.2263
is it going to be perfect beach weather,i believe so,0.0,0.654,0.346,0.5719
i believe so,good i hope it doesnt cool off this weekend,0.0,1.0,0.0,0.0
good i hope it doesnt cool off this weekend,i know i really want to go to the beach,0.154,0.392,0.454,0.5911
i know i really want to go to the beach,but you know that california weather is really unpredictable,0.0,0.815,0.185,0.1513
but you know that california weather is really unpredictable,youre right one minute its hot and then the next minute its cold,0.0,1.0,0.0,0.0
youre right one minute its hot and then the next minute its cold,i really wish the weather would just stay the same,0.0,1.0,0.0,0.0
i really wish the weather would just stay the same,i do too that way we can have our activities planned ahead of time,0.0,0.728,0.272,0.4576
i do too that way we can have our activities planned ahead of time,yeah that would make things a lot easier,0.0,1.0,0.0,0.0
i would like to take a trip to the beach this weekend,a trip to the beach would be fun how is the weather going to be,0.0,0.783,0.217,0.3612
a trip to the beach would be fun how is the weather going to be,the forecast says that it will be warm on the weekend,0.0,0.798,0.202,0.5106
the forecast says that it will be warm on the weekend,so do you think itll be perfect weather for the beach,0.0,0.84,0.16,0.2263
so do you think itll be perfect weather for the beach,it sounds like it will be,0.0,0.73,0.27,0.5719
it sounds like it will be,i really hope it doesnt get cold,0.0,0.667,0.333,0.3612
i really hope it doesnt get cold,that would ruin things i want to go so badly,0.0,0.61,0.39,0.4927
that would ruin things i want to go so badly,the weather in california is unpredictable so you never know,0.516,0.398,0.086,-0.8172
the weather in california is unpredictable so you never know,that is true the weather is constantly changing,0.0,1.0,0.0,0.0
that is true the weather is constantly changing,it would be nice if the weather would never change,0.0,0.714,0.286,0.4215
it would be nice if the weather would never change,that would be great then we could plan things sooner,0.0,0.763,0.237,0.4215
that would be great then we could plan things sooner,true predictable weather would make life easier,0.0,0.687,0.313,0.6249
it would be nice to go to the beach sometime this weekend,whats the weather going to be like i may want to go too,0.0,0.797,0.203,0.4215
whats the weather going to be like i may want to go too,the weather this weekend is supposed to be warm,0.0,0.725,0.275,0.4215
the weather this weekend is supposed to be warm,will it be good beach weather,0.0,0.808,0.192,0.2263
will it be good beach weather,i think it will be,0.0,0.633,0.367,0.4404
i think it will be,it wouldnt be good if it got cold this weekend,0.0,1.0,0.0,0.0
it wouldnt be good if it got cold this weekend,i want this trip to be perfect i hope it stays warm,0.211,0.789,0.0,-0.3412
i want this trip to be perfect i hope it stays warm,this california weather is so uncertain its impossible to know whatll happen,0.0,0.38,0.62,0.8316
this california weather is so uncertain its impossible to know whatll happen,i know every day the weather seems different,0.207,0.793,0.0,-0.4341
i know every day the weather seems different,i would love it if it wasnt always so unpredictable,0.0,1.0,0.0,0.0
i would love it if it wasnt always so unpredictable,that would make it easier for us to make plans,0.0,0.656,0.344,0.6369
hello may i speak to alice please,this is she hows it going,0.0,0.685,0.315,0.3182
this is she hows it going,ive been trying to call you all day,0.0,1.0,0.0,0.0
ive been trying to call you all day,sorry about that i was cleaning up,0.0,1.0,0.0,0.0
sorry about that i was cleaning up,its okay,0.206,0.794,0.0,-0.0772
its okay,so what were you calling me about,0.0,0.345,0.655,0.2263
so what were you calling me about,oh i just wanted to see if you wanted to hang out tomorrow,0.0,1.0,0.0,0.0
oh i just wanted to see if you wanted to hang out tomorrow,sure what did you want to do,0.0,1.0,0.0,0.0
sure what did you want to do,maybe we can go see a movie or something,0.0,0.581,0.419,0.3818
maybe we can go see a movie or something,that sounds like fun lets do it,0.0,1.0,0.0,0.0
that sounds like fun lets do it,ill see you tomorrow then,0.0,0.463,0.537,0.7003
ill see you tomorrow then,see you then goodbye,0.0,1.0,0.0,0.0
hi how are you is alice there,speaking whats up,0.0,1.0,0.0,0.0
speaking whats up,why havent you answered the phone,0.0,1.0,0.0,0.0
why havent you answered the phone,my bad i had chores to do,0.0,1.0,0.0,0.0
my bad i had chores to do,thats all right,0.412,0.588,0.0,-0.5423
thats all right,what was the reason for your call,0.0,1.0,0.0,0.0
what was the reason for your call,i want to do something tomorrow with you,0.0,1.0,0.0,0.0
i want to do something tomorrow with you,sounds good what did you have in mind,0.0,0.822,0.178,0.0772
sounds good what did you have in mind,i was thinking about seeing a movie,0.0,0.707,0.293,0.4404
i was thinking about seeing a movie,okay lets go see a movie,0.0,1.0,0.0,0.0
okay lets go see a movie,until then,0.0,0.678,0.322,0.2263
until then,talk to you later,0.0,1.0,0.0,0.0
is alice available,youre talking to her,0.0,1.0,0.0,0.0
youre talking to her,ive called you a hundred times today,0.0,1.0,0.0,0.0
ive called you a hundred times today,i was busy doing something i apologize,0.0,1.0,0.0,0.0
i was busy doing something i apologize,no problem,0.0,0.741,0.259,0.1027
no problem,did you need something,1.0,0.0,0.0,-0.5994
did you need something,do you want to do something tomorrow,0.0,1.0,0.0,0.0
do you want to do something tomorrow,is there somewhere special you wanted to go,0.0,0.822,0.178,0.0772
is there somewhere special you wanted to go,how about a movie,0.0,0.722,0.278,0.4019
how about a movie,a movie sounds good,0.0,1.0,0.0,0.0
a movie sounds good,call me tomorrow then,0.0,0.408,0.592,0.4404
have you seen the new girl in school,no i havent,0.0,1.0,0.0,0.0
no i havent,shes really pretty,0.688,0.312,0.0,-0.296
shes really pretty,describe her to me,0.0,0.364,0.636,0.5413
describe her to me,shes not too tall,0.0,1.0,0.0,0.0
shes not too tall,well how tall is she,0.0,1.0,0.0,0.0
well how tall is she,shes about five feet even,0.0,0.656,0.344,0.2732
shes about five feet even,what does she look like though,0.0,1.0,0.0,0.0
what does she look like though,she has pretty light brown eyes,0.0,0.667,0.333,0.3612
she has pretty light brown eyes,i may know which girl youre talking about,0.0,0.61,0.39,0.4939
i may know which girl youre talking about,so you have seen her around,0.0,1.0,0.0,0.0
so you have seen her around,yes i have,0.0,1.0,0.0,0.0
theres a new girl in school have you seen her yet,i havent seen her yet,0.0,1.0,0.0,0.0
i havent seen her yet,i think that she is very pretty,0.0,1.0,0.0,0.0
i think that she is very pretty,tell me how she looks,0.0,0.589,0.411,0.5413
tell me how she looks,shes kind of short,0.0,1.0,0.0,0.0
shes kind of short,what height is she,0.0,1.0,0.0,0.0
what height is she,shes probably about five feet,0.0,1.0,0.0,0.0
shes probably about five feet,thats nice but tell me what she looks like,0.0,1.0,0.0,0.0
thats nice but tell me what she looks like,the first thing i noticed was her beautiful brown eyes,0.0,0.576,0.424,0.631
the first thing i noticed was her beautiful brown eyes,i think i mightve bumped into her before,0.0,0.672,0.328,0.5994
i think i mightve bumped into her before,are you telling me that youve seen her before,0.0,1.0,0.0,0.0
are you telling me that youve seen her before,i believe so,0.0,1.0,0.0,0.0
have you met the new girl,no have you,0.0,1.0,0.0,0.0
no have you,shes one of the prettiest girls at the school,0.524,0.476,0.0,-0.296
shes one of the prettiest girls at the school,what does she look like,0.0,0.684,0.316,0.5719
what does she look like,well shes quite short,0.0,0.615,0.385,0.3612
well shes quite short,how tall would you say that she is,0.0,0.588,0.412,0.2732
how tall would you say that she is,i would say shes only five feet,0.0,1.0,0.0,0.0
i would say shes only five feet,what about her facial features,0.0,1.0,0.0,0.0
what about her facial features,she has light brown eyes absolutely beautiful,0.0,1.0,0.0,0.0
she has light brown eyes absolutely beautiful,i think i know who youre talking about,0.0,0.589,0.411,0.6361
i think i know who youre talking about,have you seen her,0.0,1.0,0.0,0.0
why werent you at school yesterday,i wasnt really feeling well,0.0,1.0,0.0,0.0
i wasnt really feeling well,what was wrong with you,0.643,0.357,0.0,-0.3832
what was wrong with you,my stomach was upset,0.437,0.563,0.0,-0.4767
my stomach was upset,do you feel better now,0.464,0.536,0.0,-0.3818
do you feel better now,i dont really feel too well yet,0.0,0.58,0.42,0.4404
i dont really feel too well yet,do you want anything to make you feel better,0.0,0.679,0.321,0.3321
do you want anything to make you feel better,no thanks i already took some medicine,0.0,0.625,0.375,0.4939
no thanks i already took some medicine,i hope you feel better,0.242,0.44,0.319,0.1779
i hope you feel better,thank you,0.0,0.256,0.744,0.7003
what reason do you have for missing school,i was sick,0.239,0.761,0.0,-0.296
i was sick,how were you sick,0.767,0.233,0.0,-0.5106
how were you sick,i had a stomachache,0.524,0.476,0.0,-0.5106
i had a stomachache,did it get any better,0.0,1.0,0.0,0.0
did it get any better,im still feeling under the weather,0.0,0.58,0.42,0.4404
im still feeling under the weather,would you like anything for your stomach,0.0,0.769,0.231,0.128
would you like anything for your stomach,i took something earlier,0.0,0.706,0.294,0.3612
i took something earlier,get better,0.0,1.0,0.0,0.0
get better,thanks a lot,0.0,0.256,0.744,0.4404
why didnt you go to school yesterday,i stayed home because i wasnt feeling well,0.0,1.0,0.0,0.0
i stayed home because i wasnt feeling well,what was your problem,0.443,0.557,0.0,-0.2924
what was your problem,my stomach was bothering me,0.474,0.526,0.0,-0.4019
my stomach was bothering me,are you feeling any better,0.394,0.606,0.0,-0.3818
are you feeling any better,im still feeling a little sick,0.0,0.405,0.595,0.5267
im still feeling a little sick,im going to the store would you like any pepto bismol,0.401,0.4,0.2,-0.3626
im going to the store would you like any pepto bismol,thats okay,0.0,0.8,0.2,0.3612
thats okay,i hope you feel better,0.0,0.345,0.655,0.2263
did you hear the good news,no i havent,0.0,0.633,0.367,0.4404
no i havent,i got a promotion at my job,0.688,0.312,0.0,-0.296
i got a promotion at my job,did you really,0.0,1.0,0.0,0.0
did you really,seriously i am so excited,0.0,1.0,0.0,0.0
seriously i am so excited,well congratulations,0.266,0.313,0.421,0.2484
well congratulations,thank you,0.0,0.0,1.0,0.7184
thank you,im so happy for you,0.0,0.286,0.714,0.3612
im so happy for you,really,0.0,0.5,0.5,0.6115
really,yes you really deserved this,0.0,1.0,0.0,0.0
yes you really deserved this,you think so,0.0,0.597,0.403,0.4019
you think so,yes good for you,0.0,1.0,0.0,0.0
have you heard my good news,you havent told me anything yet,0.0,0.633,0.367,0.4404
you havent told me anything yet,i got a promotion at work earlier this week,0.0,1.0,0.0,0.0
i got a promotion at work earlier this week,is that right,0.0,1.0,0.0,0.0
is that right,its the truth i am really happy,0.0,1.0,0.0,0.0
its the truth i am really happy,congratulations on your promotion,0.0,0.389,0.611,0.7425
congratulations on your promotion,thank you very much,0.0,0.435,0.565,0.5994
thank you very much,i am really excited for you,0.0,0.545,0.455,0.3612
i am really excited for you,are you really,0.0,0.598,0.402,0.4005
are you really,im serious you deserved this promotion,0.0,1.0,0.0,0.0
im serious you deserved this promotion,is that what you really think,0.206,0.794,0.0,-0.0772
is that what you really think,yes i do,0.0,1.0,0.0,0.0
i havent told you what happened yet have i,i havent heard anything,0.0,1.0,0.0,0.0
i havent heard anything,my boss offered me a promotion and i took it,0.0,1.0,0.0,0.0
my boss offered me a promotion and i took it,are you serious,0.0,1.0,0.0,0.0
are you serious,yes i am really excited,0.394,0.606,0.0,-0.0772
yes i am really excited,thats great congratulations,0.0,0.271,0.729,0.659
thats great congratulations,i appreciate that,0.0,0.111,0.889,0.8402
i appreciate that,you have no idea how happy i am for you,0.0,0.27,0.73,0.4019
you have no idea how happy i am for you,for real,0.171,0.543,0.287,0.3612
you look really nice today,thank you i just got this outfit the other day,0.0,0.564,0.436,0.4754
thank you i just got this outfit the other day,really where did you get it,0.0,0.762,0.238,0.3612
really where did you get it,i got it from macys,0.0,1.0,0.0,0.0
i got it from macys,its really nice,0.0,1.0,0.0,0.0
its really nice,thanks again you look nice today too,0.0,0.393,0.607,0.4754
thanks again you look nice today too,thank you i just got these shoes today,0.0,0.467,0.533,0.6908
thank you i just got these shoes today,really what kind of shoes are they,0.0,0.706,0.294,0.3612
really what kind of shoes are they,these are called all star chuck taylors,0.0,1.0,0.0,0.0
these are called all star chuck taylors,i really like those how much did they cost,0.0,1.0,0.0,0.0
i really like those how much did they cost,they were about forty dollars,0.0,0.715,0.285,0.4201
they were about forty dollars,i think im going to go buy myself a pair,0.0,1.0,0.0,0.0
i absolutely love what youre wearing today,you do i just bought this outfit a couple days ago,0.0,0.527,0.473,0.6697
you do i just bought this outfit a couple days ago,seriously it looks really nice on you where did you buy it from,0.0,1.0,0.0,0.0
seriously it looks really nice on you where did you buy it from,i bought it from the macys at the santa anita mall,0.108,0.697,0.196,0.3384
i bought it from the macys at the santa anita mall,i really like that outfit,0.0,1.0,0.0,0.0
i really like that outfit,thanks i think you look nice today too,0.0,0.518,0.482,0.4201
thanks i think you look nice today too,thank you i just bought these new shoes earlier today,0.0,0.467,0.533,0.6908
thank you i just bought these new shoes earlier today,those are nice what are they,0.0,0.762,0.238,0.3612
those are nice what are they,these are some chucks,0.0,0.641,0.359,0.4215
these are some chucks,those are great how much were they,0.0,1.0,0.0,0.0
those are great how much were they,i got them for forty,0.0,0.594,0.406,0.6249
i got them for forty,i think i might go and find me my own pair of chucks,0.0,1.0,0.0,0.0
i think that you look very cute today,is that right this is a brand new outfit,0.0,0.646,0.354,0.5095
is that right this is a brand new outfit,what store did you get it from,0.0,1.0,0.0,0.0
what store did you get it from,i went to macys and picked it out,0.0,1.0,0.0,0.0
i went to macys and picked it out,i love your outfit right now,0.0,1.0,0.0,0.0
i love your outfit right now,well i think you look nice today too,0.0,0.488,0.512,0.6369
well i think you look nice today too,thanks i found these new shoes earlier at the store,0.0,0.505,0.495,0.5994
thanks i found these new shoes earlier at the store,i think that those are some really nice shoes what kind are they,0.0,0.734,0.266,0.4404
i think that those are some really nice shoes what kind are they,these are chucks,0.0,0.606,0.394,0.7574
these are chucks,your shoes look really nice how much did you get them for,0.0,1.0,0.0,0.0
your shoes look really nice how much did you get them for,they only cost me about forty dollars,0.0,0.781,0.219,0.4754
tell me what do you enjoy doing in your spare time,i enjoy drawing and painting,0.0,0.758,0.242,0.4939
i enjoy drawing and painting,you know how to draw and paint,0.0,0.484,0.516,0.4939
you know how to draw and paint,yes i do,0.0,1.0,0.0,0.0
yes i do,when did you learn how to do that,0.0,0.27,0.73,0.4019
when did you learn how to do that,i learned back in high school,0.0,1.0,0.0,0.0
i learned back in high school,oh so you took an art class,0.0,1.0,0.0,0.0
oh so you took an art class,yeah i loved that class,0.0,1.0,0.0,0.0
yeah i loved that class,i see that youre pretty talented,0.0,0.247,0.753,0.7269
i see that youre pretty talented,thank you very much,0.0,0.316,0.684,0.7579
thank you very much,i wish i had a talent like that,0.0,0.545,0.455,0.3612
i wish i had a talent like that,im sure you have a talent its just hidden,0.0,0.2,0.8,0.7906
what kinds of things do you like to do,ive always liked to draw and paint,0.0,0.762,0.238,0.3612
ive always liked to draw and paint,i didnt know you knew how to draw and paint,0.0,0.682,0.318,0.4215
i didnt know you knew how to draw and paint,i do it every once in a while,0.0,1.0,0.0,0.0
i do it every once in a while,how long have you known how to do that,0.0,1.0,0.0,0.0
how long have you known how to do that,i first learned how to do it in high school,0.0,1.0,0.0,0.0
i first learned how to do it in high school,did you take some sort of art class or something,0.0,1.0,0.0,0.0
did you take some sort of art class or something,that was my favorite class,0.0,1.0,0.0,0.0
that was my favorite class,you have got to be talented,0.0,0.571,0.429,0.4588
you have got to be talented,thanks,0.0,0.602,0.398,0.5106
thanks,if only i was talented,0.0,0.0,1.0,0.4404
if only i was talented,you have a talent you just dont know what it is yet,0.0,0.476,0.524,0.5106
are there any hobbies you do,when i have time i sometimes draw and paint,0.0,1.0,0.0,0.0
when i have time i sometimes draw and paint,oh you actually do that,0.0,1.0,0.0,0.0
oh you actually do that,every so often i do,0.0,1.0,0.0,0.0
every so often i do,did you always know how to draw and paint,0.0,1.0,0.0,0.0
did you always know how to draw and paint,i was taught in high school how to draw and paint,0.0,1.0,0.0,0.0
i was taught in high school how to draw and paint,you had an art class,0.0,1.0,0.0,0.0
you had an art class,exactly it was my favorite class,0.0,1.0,0.0,0.0
exactly it was my favorite class,well its good that youre so talented,0.0,0.625,0.375,0.4588
well its good that youre so talented,i appreciate that,0.0,0.302,0.698,0.8497
i appreciate that,talent is a great thing i wish i had one,0.0,0.27,0.73,0.4019
whats your favorite movie,my favorite movie is superbad,0.0,0.5,0.5,0.4588
my favorite movie is superbad,oh why is that,0.0,0.571,0.429,0.4588
oh why is that,its the funniest movie that ive ever seen,0.0,1.0,0.0,0.0
its the funniest movie that ive ever seen,thats true it is a very funny movie,0.0,0.66,0.34,0.5574
thats true it is a very funny movie,youve seen it before,0.0,0.455,0.545,0.7178
youve seen it before,yes i saw that movie the first day it came out in theaters,0.0,1.0,0.0,0.0
yes i saw that movie the first day it came out in theaters,didnt you laugh through the whole movie i did,0.0,0.803,0.197,0.4019
didnt you laugh through the whole movie i did,me too that movie brought tears to my eyes,0.295,0.705,0.0,-0.4449
me too that movie brought tears to my eyes,mine too,0.192,0.808,0.0,-0.2263
mine too,i have it on dvd at my house if you want to come over and watch it,0.0,1.0,0.0,0.0
i have it on dvd at my house if you want to come over and watch it,sure lets go,0.0,0.92,0.08,0.0772
which movie is your favorite to watch,i have to say my favorite movie is superbad,0.0,0.667,0.333,0.4588
i have to say my favorite movie is superbad,is that right why,0.0,0.7,0.3,0.4588
is that right why,honestly it is one of the funniest movies ive seen in a long time,0.0,1.0,0.0,0.0
honestly it is one of the funniest movies ive seen in a long time,youre right that movie is hilarious,0.0,0.625,0.375,0.765
youre right that movie is hilarious,i didnt think you saw that movie,0.0,0.649,0.351,0.4019
i didnt think you saw that movie,i went to see it the day it came out,0.0,1.0,0.0,0.0
i went to see it the day it came out,i was laughing through the whole movie,0.0,1.0,0.0,0.0
i was laughing through the whole movie,i couldnt help laughing either,0.0,0.61,0.39,0.4939
i couldnt help laughing either,same here,0.71,0.29,0.0,-0.5975
same here,i bought the movie would you like to come to my house and watch it,0.0,1.0,0.0,0.0
i bought the movie would you like to come to my house and watch it,of course,0.0,0.839,0.161,0.3612
out of every movie that youve seen which one is your favorite,im going to have to say that superbad is the best movie ever,0.0,0.786,0.214,0.4588
im going to have to say that superbad is the best movie ever,you think so how come,0.0,0.741,0.259,0.6369
you think so how come,well superbad is super funny,0.0,1.0,0.0,0.0
well superbad is super funny,youre not lying i found that movie absolutely hilarious,0.0,0.183,0.817,0.836
youre not lying i found that movie absolutely hilarious,i didnt know that you saw superbad before,0.0,0.51,0.49,0.6974
i didnt know that you saw superbad before,i made sure to be in line to see it the first day it came out,0.0,1.0,0.0,0.0
i made sure to be in line to see it the first day it came out,i couldnt keep from laughing throughout the whole movie,0.0,0.859,0.141,0.3182
i couldnt keep from laughing throughout the whole movie,i was laughing hysterically the whole time my stomach muscles hurt afterwards,0.273,0.727,0.0,-0.3875
i was laughing hysterically the whole time my stomach muscles hurt afterwards,thats exactly how i felt,0.218,0.577,0.205,-0.0516
thats exactly how i felt,i got the movie when it came out on dvd do you want to come over,0.0,1.0,0.0,0.0
what type of music do you like to listen to,i like listening to different kinds of music,0.0,0.783,0.217,0.3612
i like listening to different kinds of music,like what for instance,0.0,0.706,0.294,0.3612
like what for instance,i enjoy rock and rb,0.0,0.545,0.455,0.3612
i enjoy rock and rb,why is that,0.0,0.484,0.516,0.4939
why is that,i like the different instruments that they use,0.0,1.0,0.0,0.0
i like the different instruments that they use,thats a good reason to like something,0.0,0.706,0.294,0.3612
thats a good reason to like something,yeah i think so too,0.0,0.426,0.574,0.6597
what kind of music do you enjoy listening to,i enjoy listening to all kinds of music,0.0,0.714,0.286,0.4939
i enjoy listening to all kinds of music,what kind,0.0,0.652,0.348,0.4939
what kind,i like to listen to rock and rb,0.0,0.227,0.773,0.5267
i like to listen to rock and rb,why do you like that type of music,0.0,0.706,0.294,0.3612
why do you like that type of music,i like the kinds of instruments that they use,0.0,0.737,0.263,0.3612
i like the kinds of instruments that they use,i think thats an excellent reason to like something,0.0,0.737,0.263,0.3612
i think thats an excellent reason to like something,thanks i feel the same way,0.0,0.492,0.508,0.7351
what is your favorite kind of music,i listen to various types of music,0.0,0.667,0.333,0.4588
i listen to various types of music,what genres,0.0,1.0,0.0,0.0
what genres,i enjoy listening to both rock and rb,0.0,1.0,0.0,0.0
i enjoy listening to both rock and rb,what interests you in that type of music,0.0,0.652,0.348,0.4939
what interests you in that type of music,i enjoy the different types of instruments that they use,0.0,0.778,0.222,0.25
i enjoy the different types of instruments that they use,that is a perfect reason to like a certain kind of music,0.0,0.714,0.286,0.4939
did you go to the basketball game on friday,no i couldnt make it,0.0,1.0,0.0,0.0
no i couldnt make it,you missed a really good game,0.423,0.577,0.0,-0.296
you missed a really good game,oh really who won,0.262,0.357,0.38,0.2484
